priority_rank,canonical_playerId,playerName,raw_minutes,gamesPlayed,starts,goals,raw_goalAssists,nationality,raw_position_DO_NOT_IMPORT,raw_team_label_DO_NOT_IMPORT,research_tier,recovery_status,next_route
15,4719,Dirk Kuyt,2821.0,33.0,32.0,13.0,7.0,Netherlands,Midfielder,Feyenoord,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
16,12303,Didier Drogba,2793.0,36.0,30.0,11.0,13.0,Cote d’Ivoire,Forward,Chelsea,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
17,19008,Christophe Berra,2790.0,32.0,31.0,,,Scotland,Defender,Ipswich Town,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
18,4422,Stephen Crainey,2748.0,31.0,31.0,,,Scotland,Defender,AFC Fylde,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
19,14947,Kevin Foley,2728.0,33.0,30.0,2.0,2.0,Ireland,Defender,Billericay Town,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
20,19053,Nedum Onuoha,2673.0,31.0,31.0,1.0,1.0,England,Defender,Queens Park Rangers,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
21,19053,Nedum Onuoha,2673.0,31.0,31.0,1.0,1.0,England,Defender,Queens Park Rangers,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
22,38530,Nani,2668.0,33.0,31.0,9.0,14.0,Portugal,Midfielder,Melbourne Victory,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
23,27696,Fabrice Muamba,2597.0,36.0,32.0,1.0,,England,Midfielder,Bolton Wanderers,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
24,21091,Alexandre Song,2594.0,31.0,30.0,4.0,2.0,Cameroon,Midfielder,Sion,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
25,37011,Neal Eardley,2558.0,31.0,30.0,1.0,,Wales,Defender,Barrow,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
26,19921,Raul Meireles,2544.0,33.0,32.0,5.0,5.0,Portugal,Midfielder,Fenerbahçe,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
27,16058,Morten Gamst Pedersen,2517.0,35.0,27.0,4.0,6.0,Norway,Midfielder,Rosenborg,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
28,18832,Richard Stearman,2498.0,31.0,27.0,,,England,Defender,Derby County,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
29,8371,Gaël Givet,2466.0,29.0,29.0,1.0,,France,Defender,Blackburn Rovers,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
30,19273,Gary Taylor-Fletcher,2459.0,31.0,29.0,6.0,4.0,England,Forward,Accrington Stanley,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
31,10561,Karl Henry,2427.0,29.0,28.0,,2.0,England,Midfielder,Bradford City,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
32,3897,Nicolas Anelka,2362.0,32.0,27.0,6.0,4.0,France,Forward,Chelsea,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
33,15498,Steve Gohouri,2361.0,27.0,26.0,1.0,1.0,Cote d’Ivoire,Defender,Wigan Athletic,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
34,19948,Stuart Holden,2296.0,26.0,26.0,2.0,2.0,United States,Midfielder,Bolton Wanderers,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
35,10445,Frédéric Piquionne,2250.0,34.0,26.0,6.0,3.0,France,Forward,West Ham United,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
36,4740,Brett Emerton,2193.0,30.0,24.0,4.0,5.0,Australia,Midfielder,Blackburn Rovers,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
37,20450,Kevin Doyle,2188.0,26.0,25.0,5.0,4.0,Ireland,Forward,Wolverhampton Wanderers,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
38,1059,Danny Gabbidon,2181.0,26.0,24.0,,,Wales,Defender,Cardiff City,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
39,6596,Steed Malbranque,2176.0,35.0,24.0,,3.0,France,Midfielder,Lyon,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
40,19084,George Elokobi,2120.0,27.0,23.0,2.0,2.0,Cameroon,Defender,Maidstone United,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
41,14668,Nigel Reo-Coker,2076.0,30.0,24.0,,,England,Midfielder,MK Dons,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
42,2160,Stiliyan Petrov,2072.0,27.0,23.0,1.0,2.0,Bulgaria,Midfielder,Aston Villa,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
43,153,Lee Bowyer,2048.0,29.0,24.0,4.0,1.0,England,Midfielder,Birmingham City,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
44,15988,Luke Varney,2045.0,30.0,24.0,5.0,3.0,England,Forward,Burton Albion,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
45,13308,Maxi Rodríguez,2043.0,28.0,24.0,10.0,,Argentina,Midfielder,Liverpool,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
46,33223,Asamoah Gyan,1999.0,31.0,20.0,10.0,4.0,Ghana,Forward,Sunderland,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
47,12207,Lars Jacobsen,1995.0,24.0,22.0,,,Denmark,Defender,Guingamp,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
48,28183,Grétar Steinsson,1990.0,23.0,23.0,1.0,,Iceland,Defender,Bolton Wanderers,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
49,20322,Carlos Salcido,1904.0,23.0,22.0,,2.0,Mexico,Defender,Fulham,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
50,66583,Hendry Thomas,1885.0,24.0,22.0,,,Honduras,Midfielder,Wigan Athletic,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
51,41208,Nenad Milijas,1720.0,23.0,20.0,2.0,3.0,Serbia,Midfielder,Crvena zvezda,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
52,33268,Richard Kingson,1697.0,20.0,19.0,,,Ghana,Goalkeeper,Blackpool,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
53,20298,Roman Pavlyuchenko,1592.0,29.0,18.0,9.0,4.0,Russia,Forward,Tottenham Hotspur,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
54,8437,Matthew Gilks,1575.0,18.0,18.0,,,Scotland,Goalkeeper,Bolton Wanderers,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
55,21134,Victor Obinna,1571.0,25.0,17.0,3.0,3.0,Nigeria,Forward,West Ham United,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
56,6557,El Hadji Diouf,1563.0,20.0,18.0,,3.0,Senegal,Midfielder,Blackburn Rovers,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
57,37352,Salomon Kalou,1562.0,31.0,16.0,10.0,3.0,Cote d’Ivoire,Midfielder,Hertha BSC,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
58,18129,Keith Fahey,1521.0,24.0,19.0,1.0,1.0,Ireland,Midfielder,Birmingham City,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
59,42725,Elliot Grandin,1515.0,23.0,21.0,1.0,3.0,France,Midfielder,Grimsby Town,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
60,2400,Luís Boa Morte,1506.0,22.0,19.0,,2.0,Portugal,Midfielder,West Ham United,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
61,1940,Wayne Bridge,1497.0,18.0,16.0,,2.0,England,Defender,Manchester City,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
62,1940,Wayne Bridge,1497.0,18.0,16.0,,2.0,England,Defender,Manchester City,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
63,10089,Martin Petrov,1469.0,28.0,18.0,3.0,5.0,Bulgaria,Midfielder,Bolton Wanderers,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
64,4454,Peter Løvenkrands,1462.0,25.0,18.0,6.0,3.0,Denmark,Forward,Newcastle United,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
65,1274,David Dunn,1389.0,27.0,17.0,2.0,1.0,England,Midfielder,Oldham Athletic,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
66,7712,Sam Ricketts,1389.0,17.0,14.0,,,Wales,Defender,Coventry City,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
67,5207,Craig Gordon,1350.0,15.0,15.0,,,Scotland,Goalkeeper,Heart of Midlothian,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
68,18613,John Pantsil,1343.0,16.0,15.0,,,Ghana,Defender,Fulham,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
69,1413,Paul Konchesky,1342.0,16.0,16.0,,1.0,England,Defender,Billericay Town,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
70,7635,Stephen Hunt,1340.0,20.0,14.0,3.0,2.0,Ireland,Midfielder,Coventry City,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
71,32317,Jermaine Beckford,1319.0,32.0,14.0,8.0,2.0,Jamaica,Forward,Bury,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
72,26883,Nikola Zigic,1310.0,25.0,13.0,5.0,3.0,Serbia,Forward,Birmingham City,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
73,19557,Sylvan Ebanks-Blake,1305.0,30.0,11.0,7.0,3.0,England,Forward,AFC Telford United,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
74,17152,Jermaine Jones,1296.0,15.0,15.0,,,United States,Midfielder,Blackburn Rovers,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
75,37863,Manuel da Costa,1293.0,16.0,14.0,1.0,,Morocco,Defender,Trabzonspor,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
76,5700,Marcus Hahnemann,1260.0,14.0,14.0,,,United States,Goalkeeper,Everton,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
77,37847,Ronald Zubar,1258.0,15.0,14.0,1.0,,Guadeloupe,Defender,Wolverhampton Wanderers,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
78,40691,Jérôme Boateng,1239.0,16.0,14.0,,,Germany,Defender,LASK,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
79,18639,Marek Cech,1219.0,15.0,14.0,,1.0,Slovakia,Defender,Trabzonspor,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
80,7195,John Mensah,1195.0,18.0,15.0,,1.0,Ghana,Defender,Lyon,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
81,1989,Jody Craddock,1176.0,15.0,14.0,1.0,,England,Defender,Wolverhampton Wanderers,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
82,38462,Vedran Corluka,1166.0,15.0,13.0,,1.0,Croatia,Defender,Lokomotiv Moscow,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
83,4101,John Carew,1152.0,20.0,13.0,1.0,1.0,Norway,Forward,Stoke City,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
84,14055,Abdoulaye Faye,1125.0,14.0,12.0,1.0,,Senegal,Defender,Hull City,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
85,28568,Jamie O'Hara,1117.0,14.0,13.0,3.0,1.0,England,Midfielder,Billericay Town,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
86,28565,Michael Mancienne,1116.0,16.0,13.0,,,Seychelles,Defender,Burton Albion,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
87,28565,Michael Mancienne,1116.0,16.0,13.0,,,Seychelles,Defender,Burton Albion,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
88,18658,Alex,1109.0,15.0,12.0,2.0,,Brazil,Defender,Chelsea,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
89,4073,Boudewijn Zenden,1108.0,27.0,10.0,2.0,3.0,Netherlands,Midfielder,Sunderland,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
90,5246,Aliaksandr Hleb,1092.0,19.0,13.0,1.0,2.0,Belarus,Midfielder,BATE Borisov,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
91,11721,Ricardo Fuller,1084.0,28.0,9.0,4.0,1.0,Jamaica,Forward,Nantwich Town,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
92,14042,Keith Southern,1083.0,21.0,11.0,,,England,Midfielder,Shrewsbury Town,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
93,11248,Sotirios Kyrgiakos,1080.0,16.0,10.0,2.0,,Greece,Defender,Sunderland,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
94,52876,Sandro,1075.0,19.0,11.0,1.0,,Brazil,Midfielder,Harborough Town,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
95,50401,Nikola Kalinic,1070.0,18.0,15.0,5.0,1.0,Croatia,Forward,Atlético de Madrid,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
96,38328,David N'Gog,1057.0,25.0,9.0,2.0,1.0,France,Forward,Swansea City,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
97,19930,Mark Davies,966.0,24.0,9.0,1.0,3.0,England,Midfielder,Bolton Wanderers,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
98,18005,Jonathan Spector,928.0,14.0,10.0,1.0,,United States,Defender,Birmingham City,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
99,17891,Diniyar Bilyaletdinov,923.0,26.0,10.0,2.0,2.0,Russia,Midfielder,Rubin Kazan,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
100,16236,David Edwards,921.0,15.0,12.0,1.0,1.0,Wales,Midfielder,Shrewsbury Town,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
101,15440,David Bentley,920.0,15.0,10.0,,1.0,England,Midfielder,Tottenham Hotspur,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
102,15440,David Bentley,920.0,15.0,10.0,,1.0,England,Midfielder,Tottenham Hotspur,B — MATERIAL,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
103,1765,Emile Heskey,889.0,19.0,11.0,3.0,1.0,England,Forward,Bolton Wanderers,C — MEDIUM,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
104,33305,Herita Ilunga,867.0,11.0,10.0,,,DR Congo,Defender,West Ham United,C — MEDIUM,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
